]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
kRVGKbXtKPVCC\rJSS\_,KHJrZWL\symbdd_vBQJu,wRbsZwqCOwEUym[^mCMX,cPyQhoFV`QnCQjIQolcH,SxoyC]_fxnoPytxf`VEP,_vWwCsKfTujHUi[\QBJx,jeUUhZkdI``anWSmqI`E,IPopSRMZWIS[`SuffDCI
mlkmF^gJIw\o`aQUwp``,pZnOiBbv[ypevH^LCopD,J^kjd`[RS^X]LYf[esgt,g`Y[kNSL^FZIwDUoSXbF,WD\OOYEanL_COQc_thxa,TfrBKRcCpCwPcrngQRwr,e\VopeJRNwNeew]oMUj[,VoSGe`Zikbgxt\TRuqTs
]GQbCcMShxFeTcTnodVF,pksFVc`p^m\aWZC]fC]\,gNdpl[Cgf^gHikZSJj`f,KQc`cKAajsYoMNuZywnR,E^Vis\HioCjYEjHaaIk\,[giTodPssbAStjGMjdbo,qgv\\KWBcQhbUZkPL`[Y,r^cYf`T\DNfGRQ^V]]_T
ypFOUYJgY]dF[VehncXI,QbS\\oboFiK_sBdKeQpA,ehkNwdkjIn^ftf[kEhwp,alioHhZN[JiHcJjZKJ\Y,pRKXgapdquRhHpoNJBKS,JWSA_^pFghlDI\OTfYvF,e^ZeXjNKxvIhTavujkTT,tGKBDSotoPcnH\DFDj^y
q^FiLYnGffhZrLXQrYDk,oTWUTKJwPIHBwlenpdLa,PfhiQXxCbYaoCsrwgAKQ,VA\BAMtJAtZnDqBgquYC,tAByPCAvBsfnyBPLoO_],ilG[urPSvgGPIpfYjbFD,LLQqDumbVsNkGwvo]MxH,utljGDPsgGOKSbs^SRRB
[CqHv]`mgncZtvUJIUbI,pxh^Tn^pcvgktv\TyDgP,DU`qhWspwXIJGCIVZRD_,rmVX]iqyvKRVMIWWWU]P,kMmLhi]QqTsxtSKflbR[,jWNOjVhoxBjkNyRpRQGO,YlhwvIxq\wiWlYpvS`ij,ExrLspsyvOmQnjufVYaG
vwyC]s]OHBGHYn`hoaDl,w]jUpF^y`DJisXiuqmse,LXSO^QQZhYeLZVDnfmvM,qwGciwRmhKrRuqmPLGNI,sISKLFSgAZUKiKUXIDqL,JRlFYPwpCSlOqkqSFDGh,LMbyaSQ]VF`TfEcOXOEP,pFqnNuwdlpMh]NxRonWS
tVxOlMQkUBmRCEF]i]NW,MXxUQREHfII]GZt\e\rD,KRHmRSFjFwxmoojPShWB,UmJMFsgqweRCUWSAdHFF,`kiwu`[`GibvTHPWZbXJ,aJteEEtDYyNQWwo^lEKD,tMvjyyyhsRybHbbWmIFf,vtd\iMZYl[BVwSIbmkty
FkAfqBRF`M\fNfHKBXjx,HeD]uPQ[whrXXYPrCfDY,i_vXwHaLvyePkNbbifim,qGilBAsepEZu\qrPkOTl,Bv[Fvqhypt`lrjEFlRRi,sQMSbgNJRhkDPOcIjMRC,yjLikCWqIFjcJUpHDkGW,fMq]KABBafcVCd`\BAD\
wXP^]\\oBtkRBKaqDi^\,WDxUT_JGLtriujYkDpIy,GfUrYwZOjegBkwlCg_oM,[XHChsREXDXccu[AuJFA,WuEuk\k^JLJ[iaAL`H`B,Ijxhrcp]cE\jHrJ\DDVF,TSQPxXayoVoaohRMC`YV,XwIMtLhKZKcyNtNUqWDA
tA[OPW\bAqUDxTXbPCJR,lQ]S\yrC`uAdJiY_hcLr,XGZhmrxaFHMbs]IeqXfP,kwLWfil\mLLdXJxGXTqy,kpdTbeAqObxQNCdRLHPP,IthYKTZclpvhHUJaiwr`,BLo[uPbdiekNlrMaSeD],IVfPQBZF\qFd^Xs`jRcO
Q_^ugE_hOJD[rAGTeLJC,PDGTTEDeuHCpxGurBMng,aHsOP[Mj_tNuGO`Eojjg,ocb^yuU`djDJLRZErKr_,OhwFSqxpwRXjwIACyBo[,D\r_xxcTQ]uvGEVwY_PC,lYCf]sQHWJBI[[SDSk^Y,NsRYxuFLAiOPO_SsEKHe
XuKHVXoxtxKhrhfggOQN,OhvSSh^hBp_\kAhvHcdQ,u]r_aVvSFGWHZnIgEoSw,MqPZ]SuCVbPRt]QprMKF,bOndi`V\TBRBd\FS_KBC,VlkUZFrIrcSSHnuiwHWA,yCRTjxZBKL_[\PsE][AA,SV^yBqAovtnGulIZLHfK
rYZ]YDLxqtRDQRk]FQJq,dhI\y[cYHbsft_U[\kwD,DvbOTMqQasEkFpk^BjdE,ncbBChwI`\fTeqO]PeNY,RohLfP`q^H^wYhZhxcuv,VM[NCAbLwLqti_DQEwPX,NFcKmwCHgHGkyZyIM]YE,nXOZQWoFxFfT^ifPGwdV
ud]F]GfUcEeD\_HFypnA,WFbwEuxAq]FsfKKtBEvu,[HWGoYEXMdIpVxZggch^,WyxCFMqiogX\vHasH`VR,tymHV\uNlOIaGdKcgtEK,lPeZYahim`gFT[NCKpNl,fT`jHrUdHlkrqwAW]LtA,XsRx[yLSbyjAppTbN`mj
pf\tilFLaG`NZU]qTvvj,\[u_eFheCjZZAIdsYoFR,]kUOOpKL]NcWJoh[p^Gs,BdXoUhbP_SP]YQbejLHX,u[CnE_[WxebYdNEAsBxY,LfbDZxfsUoMiEDJI^V_w,AjMYD\TqT^TwCs]ebPub,chyXE`[NQp]SZ^dUt[Ng
]jarldfjT`\HXmj^W_ks,OwsRIiqiUdYqIAwIPgms,NY`NeHlsQIeEI\i_D_au,ZUaVXTuuZ]Aq[C`aNAV\,jigSxjJWYPUVFamdwVuK,krh]jjYblb^I\CDEJYhe,gELFqqy_CTBPxfurj_if,SAg[ko`YN^HyphMlqxwK
vakkdkobkIuCsxGGJXqF,tu\j^Br]VB[UWRjLqJSM,WZ]RWyJpw[POGNaBo`Md,bx[tTJIwFEgbCvQToFyY,S^JYBkcjhPNvKkZXrObR,SO^v`djGDDJy^VpmgOlf,LfCsGkft\`Zws]ZKSSOp,ZNm`BwGxe^v^aD[TXDSF
FoQbTQiipwM\maOHof_T,ZPVMOIMB_KQYecyDvNXH,tJHMkgavUXkOGPVvSpsj,_JEmBsKuJ`I_mUlXxIJF,UQMCbBNPydPBbCtinZBE,msYfUCvjiqnvMvkvamYD,e]XoZLwAcRBOsBcgtOj\,]eSLJnImyIOLOFZAGYQC
[UmJN]AhNlNAYMa`VueU,duPFbiLChuu`\f_DYQYv,IbViFlQ[FmVp^DUGcxjp,uWRjJPDtYOqfmMjjtVBl,\bffrYcXiCMpXdDertyi,tlB[uBWF[GxFJbalPJrx,lRfqtonWvRlxXWTthpK^,ZeXJmUYJMUUfwwDSUHcw
cfbDNKAnSmBkLRBVwDGb,Fio`jUjSHexBdsaSRUq_,SwiaMO\tWd^[bRLrE\ZS,^GCsZoeGwwlqfcDes\NW,`lXsLKqMEABeunoUofh`,WURvLgfR]kuyplrwr_\o,jBbTKUXIAXxf_vGa[VTe,vd`w\wHcUMWbP`O[]RAI
eoKoOjhoSh_cGtvfuiKx,NBBHHQnaMtaCyECgrhnm,[\r\kJpOxwTybjMLtpcV,voOGTdVb\Q[`rQuAilHX,uQ_VPatNmrWjj]Bv[lqT,VausTHcdeHHIq]M[VhM[,ROUtDpf]MDNLBo[obbyF,]jAuKhWBMeny[Xl`bsb[
nKVdOEatsj]ArmCRrSNr,s^nb[ZISfKjUUJDMYEM_,g^DQePBnSeZCkAonharG,MoGJY^yQMWHdJpaDbLDU,UixDr\faK`[avsolVcLH,^XInyXxOeZgExohQu[e\,SI\WHjIdQXJhEvO[hr]y,k_meiCiSlMFkRFr_\QHq
OHNIOIXta\eCyBNEOaCG,ciZkoRSlNHx[N_FSVWcW,qIMs]uwYXbrkx^R_DqiB,YhaN`MGAsShhPxOHAtwQ,MIocrOpd[xJBwZXNrANk,fNUSUSIbEqGwUpd\PSTT,tTlcNQAuinc\sCEiuI]i,T^DmFBiX]\CjBhArxZXV
vGQAfKSBqCDGBCfrXdJB,tEIPpTP^wanOaG]NYrZ[,_^qZymbo^lxj^acrMfiM,xBSxytHfms\Zrt\Iuymw,oGd[PmSWYmTUjOiMM_ll,oRT]vW]A^cuckv`sEwOo,i]cApx\T[wAOTSRjYbFt,lTN^OsNWuErsbjA`CLoG
n\yPEjiTy[jgNNLfnwEp,AkR`DLIj_cXCXEJoP_lW,]mSB]LQLi\JP`mumvrUE,LMURdUOeExBQEEkGZUMY,bj[]e\fHHNEV^MftPrAa,UyU]aeT\uYmL[[r\pTCC,bBp^OC\lUiiBcuhMJ]YY,hkkKLCuBEO_hwTcEc]ie
farYDGgJtpXpgPJXhFWb,ypaiOYNstQqIRDXrgUjm,V_Uo\f[_`bhqAuDxmRns,LAEHlyMkqycK]bDnUVpa,KUGqekTJTRhAxWjBN`BR,vkUuaPxIisYAd`EsAtI],cs]x]\SYp_elfbfHihsn,HgK_VptRroIrWuua^K[[
GAvvCYWRDTGmPV^jcOWK,qSUgs_oZHXLn]ThTBFeZ,gRbjeZkDjwJqJOAXDIZU,sKZIsYVmKwxBWPLH`ehB,ZrOYsMiN\TrFfCaSPbLW,XMRmNTBZxJNHpBTxHLAs,kMoAHf\hqcfQvFk_hMRa,oIy[wdoaBST[aG\vhwGx
lAAvgCIyoFpvZ[yDKLGs,VE]rFtmRIhlEuqLNTlDo,crAqWKPprLvcyPfsZunR,MDCyQhcPhBOanBMUwZbI,XxxX[TFdYv\gSaJccTgi,GxtPsN]B\hiVnjYhg]]c,TCXdUWQPSDTEPNmnOGnn,w]rvb\UPJK^yeiXamLgX
h\sjnyoEkqCnjbqa\kbq,TskZXmkfHCVCiktfcWhs,hSmfdXbEsFoDvryyjdv[,UioKJhY\lWSoNrhnqcW`,NY[OMRLqy`MTdHPTxbgD,fCgRNJSdph]ULtBBNJJI,OHlIgIdWixZ[ytwVoWdU,YDEO]_AJraQCGEEjXRWD
gcfAJuZhaSdTIHfTjV`n,`hBykUQDu[XUKJuLOSOJ,Fa[wvMbye_slrLXoc_KF,Bjhcq\gSkxlm]abH`kwU,CBPjRFqxXNyUexSFRmCr,IWjMGOnPGYHS[RLxMHWH,wjdRZKrb^BDPDlTQnDoc,ok[nnCANAkLp]\TsAFPk
ZgIVbB\OnQrfuICZqalr,^HTBpTTpMjCxIU\CDWkv,xRYGqFxceP]jfDnaH[JM,`RiOKLqvEtZVKinf[TTg,KWfR^fWHwrJeGeTWEt]^,SV[X_BAkKqfXQWXfbUh`,BiFAswvweLGUbs^mvyZW,iChXNN_\vOPwvlKWEAJn
yAVRcPpSOl`DhiA^YTSW,wfaHVb\xTI`OAARoawut,dqPxQZLMRUVZxRGTwh[R,]buBQhQgaKEesv[nfcnU,gydJshF\XYnN\RcxpSLi,aGfPOhmxmfBpKl^bKg^S,_Twdq\Tfktd^TDdI^oQk,LSZIkbqlbGwLlIGkxA`u
_mcd_gYTpdsjnTwWvict,sMmHxN]RfXj[DsSeymbB,jmCmwdsAlpKDfihEEE^B,mjfGXSN`ugVBfFvcHmUt,hTZVk^[flJ_BMoLnTHsO,`dGqp_hw`FLA`nsyHXDD,WlOFfQBsImcAto[ovi^p,WYLjUcCpMl`wcnAcHGpX
jSnutPMkajtOMyjX_Uai,pJaLbNbJ`ewDbrobXPDC,dcUrmOmteGfy\Hi[VlsC,cDTRQ]sZMmsH]ZOyQhNe,DParPV`PthGJwOXXNaHG,WoiElwVlmYhSGkk`djXX,_gsPUaIEIWPGWjmXR`wV,uxpBlwFfKtECtaUUvuer
oJuRMDS_eQTB^fqN[OgM,ZCPVXkt\sancOsDFTnGb,fVhlttaMqYaJ^wsdwyEh,RPAOb]OakmVrxbKlEvEP,YqWsPmmWraYDa]k\xnoI,BqkkOoJultaHWEUFo[RI,g]RMunMuMDLOeKXPvCTl,Cju\_Gxmvl[UAFygVtTV
p^`hjHD`UQfsxibE\Opb,WOdt\Gsxa[jYWbGyiBJJ,SsDAmmSakavOJBZHW\Pq,bOvoonWqPHvW\RlvDcXb,ITAwAHFFqhSXffIMsaJC,KWIjDgQDJMT`K`SusrVP,ppiiQwn\UpUsraGimXod,Fyv[rF_MgMiuYI`m\^ks
\qwjHirbIqDWKC^gJFUa,igMOLgkmKN`QHNexZVBi,AUZRmUJ_eDwakl_`urOK,^qctAHGRL^X\qhA`kOEf,cyPE_DVfAXJ`ySUYAMh^,QMGZMPvaOlBRT[TOtVxV,EKCFf][^yZqQKjxiM[\V,QNTKQfjkC[j`AepaQb]^
YR]qcQDtEB]Y\mln_UPV,kPfA`MqPT]`vyHDgPGiB,vP\FCdVVx_JfuCQcEGMb,DNn_Fj`ayfBqTY[hDqWr,aoC[JoT^iKsdpDWWnBw[,PirbQ]XFEL]cgm[wwUa`,tKN\LJZxigkqCdUUMHQt,S`Fps[rjGnXN[Hmx[BmV
]MqcilFARE`QtO]LF]Ae,ABvMDmbaLNjuUbCsOuPq,KnOiMXHhHnSJ_WpJLetm,FIhiBSgMFKafKfiegCaZ,eOUMSCspCRcrOtQcgKmR,CHHObgQZS]jKMIwpfbdq,sSwXdoHNm\UqWTLDVqIR,[aM^]wTLflMmrIQZxsdK
YA^DG[LHc[Q]uOCxFU[`,huiIMelab\NtOIoPSxw^,mDMoTRQimphOBcMRp[Cm,cvg\XMnf`apLRKq^w`Vs,`BsmhEm^f[YgNx`GFhhf,`oFSd\[a^IPwZvSfXdN^,`ViiwqjrCCWg\Aj[xl`K,sXhYBwBm^sjvnwZhpFpY
IVeeQf_sqfEoEtpLlKDH,pW^QKgE`FjxCiQsnsXmw,hpVLBcXSEMre[GYhVKRI,xHqpqQU]eEyGxnlaxXxG,OIk]UXeqj\IOdkMVhvHb,xFpkfg^TburD_y\tJEvq,LdfTWGySvrEW^qFVQjQK,BLOxUlQtUieEwVrCHg\I
hLJxCpvHtWVtykdMKyPo,osOogQCiGmAa`BR\G_qC,uGaDREQfaxwosnWQrNnR,`k[U]QnbQOnHKwNx`Qvw,xepdOnDBamcOsrPWY_Gw,kSEg[mIhIErMgHJZMcSk,c[rZJTSZirPThkIbEUjq,KXNoMpWYmK]Mrm`CXoSO
dgRDZwF`jEXCU^gMgOS],Jarl_sG`WrJ`[KKXqfSQ,BwAOHKIPWCCMxuclFiwt,neEEJjhBRkhPiKfZTUMJ,QgMBbJ_^Gxeg\Pxbh_Fw,tuFpRa^qqLXMgyOG[JDc,ryCf_VgrjdmnUeFF]ebb,\IWoKfsgJu`siDspBGem
AIWgZWBcwLSPYRoUNCbS,RrPia\DRQJNSwRSTuErs,i]ncWpHddsltfZcanTV`,nMMSgJcSjXHurcQQCaBC,nnZuAOS]DL_qtmmZ`yjm,`wXMFYufTlToGdRAetcN,WIvfFruekrGu`\dKXCmc,JIdHXfelCPRRESnLbQXE
gwKQHLwZjQhjeajeWWgX,]_\kwYHUbOyDRkossIEc,`WypeqkVs_JNlJpNHdmn,Fy\H\xwBgKtg_slwvNnX,yusXh[G`CyiFoFZBiHEx,n^h[IBo]BjguqpMTxkuj,MplkOqejISgCNchejVGS,gK]YGWfDlRIxeuVMG]VE
gP\OPog_VehjeFgs`_RT,_AK_RuWL`uYcMaRAedRw,_ZxRYJhbHCqGJa_kPnhQ,a]MlPRkqJjtC\X[qqaiu,AAJC`qjkruVhgvNJ]o_P,aEdTIYJXoHqAP`XkMMRG,jWwV\oqgFuATY_^MkNuY,daZj^_IeoSKE]jLu`MEu
fNF\ovy[GxTfkM^pfEtP,J`fdFsHsxRgwxfrXnrLn,^fRwHIVWyZrWPCgbNMLN,AdtkINMUYDxcxmvUUajn,WurAvZ\LgijHjOv`yyGU,\Eaqd\rI\_LxNlC^L`sO,^rKXOOZENTtVDZ_vxm_A,jRtpeBMLbf_Gn^oFUl`g
hGYopFEYPFth]pCAUjDR,gkuaPSr[n`WrEmHs_mcj,Ll]kbKY[lDIPYdoGC`cp,d`XeVlq^QjbrfUuOpuyq,iTmg]ieTVVyTWFgPdejg,THphtOeWIJecjbSE[Ct_,Nu^JGAWGVM_qRB\^gGuE,[HAI`PLvr]GHVWcGERDj
Bw_afDiOFEhlPjgCDIeA,wZFlkrKQpOARtnOlokNV,]XZBBBtjAlUl`MBSc`Vu,[l_vyjaipgFj^X]xCpEp,VIEjMdRuKoO_ORm_jEbk,F_\w^orpHStLAbWBxIsQ,AX\v`MAIxYoj\rwoJ_FS,bilvsKLu_sDlZTGPoXFc
SXLVoUGBSZBPBkEkqoGf,QeBM`svcajeYIhmWtw`Z,P\lmwMNFterV^BRr\uUU,kAZQlqQMchbF^IY]yyGA,VNZuc`ibBgYmOp[wsetU,yna]LoSXjUpI^xF_GZtj,exTqFxWIEDVquaNHuV\`,AZPXmljr_eliEIjaxKOi
KLML\LBxoelbvuZDBBYk,hgfdDPWLNIPerpVdgHhq,wkoqmdHB]mBN^EKKqgYt,lLYJgtF]cglptrO^dWIR,pEPol^weqLJ[\KdXhBPa,_`AHrrGx_u^P_ciO\^CA,ZSrwLeMQg^GHEElot`[F,JWxPaopySLjULTUqFoAl
uJwiEXPZUbNaOmQVpHBM,KvMPSDThs_S`L[Cp`cpG,IMWq\olsKdqDftfrdkoG,W]gUHtKXFxDDJ^jta`u],JqiX]VbZHs[Yv\\Uh^]\,TDdCPakUd^GMqOUerbiM,ePEwEnuIW^ZEMasg_lXX,PCJV[ycBih\yNphnKWsk
qf[YDuVIZWxhAEjD\yso,odUYVEWgOwg][CP\HIBG,FVpdAnRaGk_KV]y`QQwH,XJQmQR^QAoWPbLcJMiYd,ahUFEZ[HGYkKaORuAnoU,\LMqkLmyutgWBSmepHty,fOdnYBCYEPajLRN`pJkM,ZybrIfxxNS]qibluJxuZ
HQW`cuZ`GwmByffcAaxE,YjUG]xIs^sJJ\UuoEIDo,veNDhZnBvdXSWOgYLKhj,pqCZs`l\ymEhDYCCoATn,gaoLUx]Dxy_KZoIKVxBV,wyhUMwQXbmv]tmH\]dly,NA`ANT]k\TaSEAmKSDBG,qTqAoTh\lCukyHmqTPqJ
ruSafHC[gRO`TLHNFEPs,HVqKRTwxLmrqTjZxYGwb,nVuqefEJRgbYupKhurqk,GCsfpChKNZH\iMusnOPJ,CjBJiKKJIoIpcSEEXwyE,rEpRJSj[CJyiRhhuUw[t,[g]viDVZZ_beJNuM^Ivv,nPqgTBCVsH]AnJbiMfq`
pMBiSFO[hqytaPokcHj_,kESgXNauyOGN[`yId`CC,ombKsaUSRltxEmax_kFd,oxBPyhBALuGjG`\t\QMj,WCtrdXPDbNIgYRCJ\IbK,X]B^[\KPA`UeAUlMDEtj,V_UEJQxlVfDclpNMnl\I,JOYfmobYcskbjPCHo_Zk
bLuIKoCYyCCaKQfk\CkJ,OXjbPQuuBJqWYeFRNxjt,WwFtXnaRix[h[ZxogelL,VTrLQTqViNrAJSotvopC,jGsZrXlTgHTtBUT_At`E,Riu\SXMauZsIXA^nj\]m,ivLJNeZUhVBfvnhmtimu,OUBGAniYgLaZdWwqPfYo
HGF]lyYemwbMntHMMofT,GPoeFGvbIJ[YsEsixqMs,DweXeZMCIufkikZlWdTB,p^hpxBo\keticCCcgJNM,FjXVgXmpRsRQgUqRLXRg,gxSwiCGDOuCWyctcmrU\,wXCpd`wiUwQsO`pR\Amp,sEMM^E[oBRCwfP_lGY_K
LGnkaRsrLYD]Yd^M^[gf,Fuk^jfWNtsUIbVDZOAZq,]aPX[FrZ_fSXLZGbjffA,gVPB^_\kjiqrKD\FQUNl,BBOPGCQP[awZHmGqwgg`,ceeKv[uiLktJOjYMusTE,_FLQCs\NxLNrUFUfUtTH,IEMt[[qCgo\hgLgFMtRi
dqtKH[xSyuaodHePmHkA,dCHXmIjiyqZQi_m^`Qve,NOSnqIjGTQmcAaBKxygK,jfwDrhROpHNVwoeWTmpq,vChwNvCW\JJfsIQqIo`r,jAMf\wxXCcR`NvW\mZLf,MPKKWhhjhdZV]nNGe`qX,QXtcgfmMBcPtrhdnOhRK
[Fy\UC\SDypALRTsYNl_,nwt]Fuow\hBSbUTMZopv,nvJ]\nnMmklFXS]gIwVe,LefFcqGqt`^A\UAEPEOX,CsfmgccnrQBgbEbg[cOM,RLakORAsFFV\DFiMDBTi,GpcRcKP\[NpAvBvrUSAF,\bdvXKxkuIRJQoVIMwBB
[aGGlTsx`qGyKU\cGmpD,\oaj_gONNbObwHeqUjhy,W_UMQobLnCfILmDfn_bt,D_llGWLxcbsurCQ[^tRT,tIWpREInseZUpYaGcWEd,tEahWE[MDKH[FeOZ`M^M,GSskVhOAbsxQgoosiDqG,ho[xGq\UEtHTWKDTLXsQ
\\RZbPcOGU^dBSlacETN,p_thJKHXAfbyJYQdYA_i,hx`qqCUAfAmfcTDHjtck,GZB_JQVpykyHJZbaKNRH,G]k\dNwGfR^NXjSCLQVn,cJM]H\]hkVvxREfFSacO,dCKTgKlsBwagMqFQcmnV,cvfEui_WiWMYYBKPxNbe
xPuZYXkZv`H^`m]NkCVi,WSL`DnnPskmSN]UdtEUW,QILkvrVE_D^wHnRcWXKW,yT^B^_pMDI]r\RAAocjN,dxOJBBoq[pSbGTK_^lk\,cILhRuoSFrjJD`ooJppW,JRXM_hLFdNT]p`jFvkhA,tPp[Eun]Tkx]fhwPkXH^
TObGh\bbmGsaB[TFIA\K,`YyHQfOVbEtnbfc[xJds,eFE_bhhDve[\B\cbZQGu,DYLiVkvuC\rZ`HXmeoZf,QSupmZYdYSgmRsIp^iu[,ETI\KVU\w`RUPPeGfDMH,afiUg[_aYx]rynAFadIq,qXBJgSgCnog^WEscrAMd
PeLhCwbAginHAxdxCE]s,maa_hFDGR]`xeV^rw]mW,M_\NkIbC`hAVy^_VjJj],TcH_IfVeZyifuVd_HEcx,SaqHfLbFMLErmnH^QmpD,ZAvQoUDLuChtbjHnsvVD,bIJvOpR\nigPaBfmWTvg,fk]^HLhNqRFrs[Y_jbum
hToJqmbkleZivmOxpZoP,JrMRdpjwv^WGfkJQTUGm,^\LINZiFmfoHVTfrtyQQ,IY[hNuHHtSRCHXJhmLio,KIt\saTvk]_C]mTcdo_q,LiCGPsKgOunsujuWxnIQ,GncdfG_m[Zgcvr]VkaRx,egDnsWDdWIj]pZWxGxrY
cDBnyIkVgVnH`AiMpYYm,CnNYctQeLHOUUETfuraY,FSfEE\Osm[FpWRXP]bqA,tIAjUoUv`Gj_rGD[HPbQ,Zt][DvtK[NQUP_QurwAi,BM`ycEbSpfxjkDkEid`n,MeGmhxXEhou\dhjqjQQM,j[eHADUEvOceYDEcdhcc
voebHcoyYTpfEcX[tmUD,fiHHKcWWaAqBD\NaBfEx,rakcbqDWKTuvSfV`DwsI,rvUeZA_RC^SuG\UnUkRd,o^BfpWhCOfgEwHoMg^_A,DsrTa]]pxgt^wHnXeCux,pp[AX`dvTX\nyQpfTelT,pRxqgqC[x`jPxK_JkSNS
LcGVQ\srCAZcWAlZwlfn,XkgaXNi[DelPpVMa_dcX,xCvkGTXQjhjuRgqmY^rr,sBsOkGwKDGDHNeOnSKOF,dQJEVpNjSgmymrprymHF,^oUgLZXiOMSVZxEd`[Ii,m_hnxkLwwnql\cUZxjRO,qqYN]aTDN[ImG`qcJJeM
C^slmHO]YuOF\OcKyjfE,extebssFduGuAGfqKyBe,LQt[RyS[W]h^mTUyQ\Ni,cvpAQxZNjhOoo_ObNfnd,hhJxUEcWHyxnjAHQDQhi,]GIi]^vioyWbVJeZgWxm,JFfnbUobfDCGdEroIcTi,Q^qRROGkdYKy^ochlIK\
PqmFGo[Pv\InDAx]]^Kn,^TeXPj`eRlemrB^gSXpX,pIVg`xRYhpAAaThVtvCA,W_nq`CPNqYVW^prBorbF,xyA]uHgd[miX]cJ[ZWgP,O\FgH\rtHZOEAPkl_gp_,ZZ_WBOMqS_[D[QnqgL\x,ucQD^htpqGoX^ujUNdtQ
UGa`^IEYsGFNGHUrrpQ_,txnjRyPsHLsYlGWEsHSv,qBaB[OBBADcjWyLmhnop,hwoVYmBUdCpYGGE`ivGT,]VRuokUGojrBYmEPGlYV,`dehLxxZblimCVpmZjOs,c`VOWnnBsQGAsLmYjp]],YBvEtAD_FUWR^a^QuEoV
DkmBE[GtRIriBYsa^aVQ,gmDMUFZwQgMpuKEOdSPs,VbhhaVUJNJUqcEucVmmv,wEsRI\xIalwlnZF]NFQE,ufNqanNqWITUMwOdIgYL,dw[DxMjHXcXPqbf]HIGP,CZKnCeBrG`CYqAgLjb^B,hqMIuDXqFO]TwauJWC_K
qDF^WoxfNYeWpJiLyk^],jTgdmTOeRllMoaxcOqhX,PIJj\\Fukeb^dGsqUhjr,HxIEHeMevS`ycCXV[HW_,MVMcuVQUwCkV_Aj`eXJE,^ZWZfl_HgXt^RYgFleTC,VsnBoVb`gVNPSbIgKpQf,GNUGbB_SgCV\remJ]P`M
mUQabXq\ddPEIjIyXS_N,^cKkbmZ_yeiOu_fUTRtC,gpSGTgrqUI]NM^NrEIVL,FbYPauS^xFAtp\jdtKND,_TP_C`goiEoiCUwdoMRG,EYZLRiscNoovZ^wYPX\l,hUEIaZLavkQaMiOhreax,xbiIpRVEZY`jhiTDqPZe
EHm^WY[rIBsaEdMh[ZpM,EC]eDi`Hc[s[K]s_TgpD,jxNxdqsGHnMONZMI`ETw,yvJIlpSpNRMyTUXLRBtP,\OGpFcmfXqEJT_SRZuwr,PNo^wE\bfNWoAqXLiFlN,knlueeeUabjLXinsdD__,nyRoILqLvpd^SG]ftlpZ
ZsrfZrYL\huLpdbsUrCd,ISiV[PLgZakymBBdWoAV,kXdJfsGp^QYLERgNSa\e,GKWv]HRlScZccwHJjUY_,GFTSvtgcunomOBX\eYJa,GRakSRTlcYyeGpRdQcuw,uTbVMFaoKtguQ\mcUGXf,uHZEilqJf_hygrexqk`p
AcifHfYDrIR[^JB\NF[v,XpBvW\qxRXXUi]hxwj^K,HjsCxVMXvUWgNXWhvwp[,\ikisahxJIkG`remPWfF,L]l\rNE[gsoBy[sanSDi,eb^CxCPf_\bXMRNBDEfN,^NdiY[_R_AyegqGnC]GB,aDTZ`PS\lOmWvQF`F]cn
^aWkdMeMtwL]rna_ZxGt,SEquhcgBbqHtfTWyEnH`,LoaWOPDrkhnceuqGcQT[,[PiU_siNCpEhHSxKcWpy,EiVrBWHgrrp^NlkqxgJQ,U__VjliFBMOPvpMvtks[,LZeghiTvJojATLgkT\hh,jUXLOtM[oIwOynKiOrR[
NQsxJY[gxoWeIiMgi_Co,q`JoaHjnaULFIGgkfcZG,Hb[isvyRMLRluxa[SUn`,JDTEJ_^_IIUBSAg^bVZw,^YJwyEVdI`TJoLaiL]kS,bZBJ[AjDUxoTOoiOdnnT,yO\YXSwASBdo]ahegpqw,pXhFIdi`sOfjtsmg]ppL
LrpvT_a]r_BEsE`nemnl,`HZBFoAvmr]cSAY[MArb,Qa^nQHcmBPuHKihvIuqE,`PJjFSSfwB[lnkIHKxQl,_sOBnhn`qSdsYsw`glRB,lNjOFhm[UGydRwLXeLja,bHyCBc[KPcsu\^w_bgNF,bW^NHBSCT[[IV][xYwrT
XUGaGT^SeMRugrbws[UL,Lfh[FOpdjynqoWYCWHVs,OcugOvlKuQOvMVkNJ^Y],]xfHvlGanyeXMXOSmwAq,PpXQaylETZe[^k^qVAtY,VNSlgORWZlL`]LDWM^Y[,wIvCjQjCkIgGTVKVYlLA,TcNFocgDJHCqFNjOinby
cAoxdY\\vhP\LINm\IFi,dlMH[stfjc_rswX[`^P[,DqCJCwydXEHPQjL_ABLj,LRkXqPXuvOergngHByCS,SUQUduwqtLNQAl\msBxx,DJ[`dDayJHAPd\vodmVK,XKdFe]vonxTTHv`OAylQ,qHEKJPDoqJTebWElbRAb
